Ada Ada,Secret Gov't Bid,0
Al Gol,Inventory Restructuring,-8
Ashton Assembler,Redesign Base Classes,3
Barbara Basic,Interpreter Benchmarking,19
Caryn Cobol,Financial Consolidation,8
Celia C. Plus,Fix Inheritance Bugs,-19
Dan Dylan,Apple-to-OS/2 Conversion,0
Freddie Fortran,Core Analysis,12
Pat Pascal,New User CBT Course,10
Paul Prolog,Merger Expert System,-18
Priscilla Pilot,Turtle Analysis,7
R. P. Gee,Update Report Writer,-3
Rex Rexx,Convert Utils to GUI,30
Sally Snobol,Word Processing Macros,-18
Smita Smalltalk,Enhanced Encapsulation,11

